Net Status Report
Filename     : C:\Users\4s\Documents\Altium projects\Asterisk Main Board\main.PcbDoc
Date         : 21.01.2024
Time         : 16:07:30
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR39_1, Signal Layers Only, 4.8068mm
    NetR46_1, Signal Layers Only, 9.6649mm
    NetR47_1, Signal Layers Only, 6.9229mm
    NetR48_1, Signal Layers Only, 1.8475mm
    NetR55_1, Signal Layers Only, 12.2549mm
    NetR56_1, Signal Layers Only, 13.4568mm
    NetR57_1, Signal Layers Only, 12.9837mm
    NetR58_1, Signal Layers Only, 8.5027mm
    NetR60_1, Signal Layers Only, 20.8972mm
    NetU1_18, Signal Layers Only, 0mm
    NetU1_37, Signal Layers Only, 0mm
    NetU1_38, Signal Layers Only, 0mm
    NetU1_43, Signal Layers Only, 0mm
    NetU1_45, Signal Layers Only, 0mm
    NetU1_46, Signal Layers Only, 0mm
    NetU1_51, Signal Layers Only, 0mm
    NetU1_59, Signal Layers Only, 0mm
    NetU1_60, Signal Layers Only, 0mm
    NetU1_61, Signal Layers Only, 0mm
    NetU1_62, Signal Layers Only, 0mm
    NetU1_77, Signal Layers Only, 0mm
    NetU1_78, Signal Layers Only, 0mm
    NetU1_79, Signal Layers Only, 0mm
    NetU1_8, Signal Layers Only, 0mm
    NetU1_80, Signal Layers Only, 0mm
    NetU1_85, Signal Layers Only, 0mm
    NetU1_86, Signal Layers Only, 0mm
    NetU1_87, Signal Layers Only, 0mm
    NetU1_88, Signal Layers Only, 0mm
    NetU1_89, Signal Layers Only, 0mm
    NetU1_9, Signal Layers Only, 0mm
    NetU1_90, Signal Layers Only, 0mm
    NetU1_91, Signal Layers Only, 0mm
    NetU1_97, Signal Layers Only, 0mm
    NetU1_98, Signal Layers Only, 0mm
    RESET_BTN, Signal Layers Only, 83.7885mm
    RESET_IMU, Signal Layers Only, 46.5492mm
    ROLE_SW, Signal Layers Only, 26.7769mm
    SOL2, Signal Layers Only, 15.9584mm
    SPI2_MISO, Signal Layers Only, 31.2906mm
    SPI2_MOSI, Signal Layers Only, 28.5835mm
    SPI2_SCK, Signal Layers Only, 33.9977mm
    ST_LED, Signal Layers Only, 15.8947mm
    SW1, Signal Layers Only, 107.658mm
    SWCLK, Signal Layers Only, 30.5203mm
    SWDIO, Signal Layers Only, 33.3863mm
    TB_IN1, Signal Layers Only, 39.5795mm
    TB_IN2, Signal Layers Only, 36.807mm
    TB_IN3, Signal Layers Only, 34.0153mm
    TB_IN4, Signal Layers Only, 31.1778mm
    TB_OUT1, Signal Layers Only, 46.0088mm
    TB_OUT2, Signal Layers Only, 43.3058mm
    VBAT_ADC, Signal Layers Only, 24.2403mm
    Vbat, Signal Layers Only, 149.722mm
    YG_LED, Signal Layers Only, 35.3796mm
count : 181
